FIPS,COUNTY,STATE,Total Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some other race Alone,Two or more races,Housing units,Occupied Housing Units,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,% Occupied Housing Units: Owner Occupied,% Occupied Housing Units: Renter Occupied,Owner-occupied housing units: Median value,Specified owner-occupied housing units: Median value,Owner occupied >> White,Owner occupied >> Black,Owner occupied >> American Indian,Owner occupied >> Native Hawaiian and Other Pacific Islander,Owner occupied >> Two or more races,Owner occupied >> Asian or Pacific Islander,Tract_numeric,In city of Detroit?
26163502000,Wayne,Michigan,3443,153,3190,7,2,0,11,80,1094,938,488,450,52.03,47.97,67200,67400,55,421,2,0,6,1,5020.0,Yes
26163503100,Wayne,Michigan,3380,536,2718,13,45,1,7,60,1121,1098,976,122,88.89,11.11,76300,75800,214,739,2,0,8,12,5031.0,Yes
26163503200,Wayne,Michigan,5103,615,4250,10,114,1,16,97,1599,1530,1148,382,75.03,24.97,55600,55500,258,853,0,0,13,20,5032.0,Yes
26163503300,Wayne,Michigan,5772,498,4933,14,245,0,13,69,1805,1693,1225,468,72.36,27.64,59400,59500,195,985,3,0,11,31,5033.0,Yes
26163503400,Wayne,Michigan,2837,305,1896,9,526,2,19,80,881,803,473,330,58.9,41.1,53800,54900,99,315,1,0,5,52,5034.0,Yes
26163503500,Wayne,Michigan,6435,304,5694,15,311,1,27,83,1995,1810,990,820,54.7,45.3,53100,53100,122,830,1,0,6,29,5035.0,Yes
26163503600,Wayne,Michigan,3302,239,2529,8,423,0,4,99,1041,935,519,416,55.51,44.49,54900,55700,82,392,1,0,11,30,5036.0,Yes
26163503700,Wayne,Michigan,2774,128,2205,8,328,0,19,86,817,716,266,450,37.15,62.85,36600,36800,41,192,2,0,7,23,5037.0,Yes
26163503900,Wayne,Michigan,4236,139,3985,6,32,0,14,60,1287,1126,597,529,53.02,46.98,58600,57700,39,545,0,0,9,3,5039.0,Yes
26163504000,Wayne,Michigan,2530,80,2395,8,1,0,6,40,813,718,399,319,55.57,44.43,60400,60400,29,360,0,0,8,1,5040.0,Yes
26163504100,Wayne,Michigan,3069,110,2911,3,2,0,5,38,1105,993,460,533,46.32,53.68,50700,50500,43,414,1,0,2,0,5041.0,Yes
26163504200,Wayne,Michigan,4208,53,4103,4,1,0,6,41,1373,1239,629,610,50.77,49.23,59900,61600,19,606,1,0,2,0,5042.0,Yes
26163504300,Wayne,Michigan,4182,104,4008,2,7,0,10,51,1394,1266,649,617,51.26,48.74,57400,57300,34,604,1,0,8,1,5043.0,Yes
26163504400,Wayne,Michigan,3797,96,3639,8,2,0,8,44,1300,1115,522,593,46.82,53.18,48500,48500,35,480,1,0,5,0,5044.0,Yes
26163504500,Wayne,Michigan,506,30,473,0,0,0,1,2,201,173,77,96,44.51,55.49,15800,14300,3,74,0,0,0,0,5045.0,Yes
26163504600,Wayne,Michigan,1629,39,1548,4,1,0,9,28,630,542,340,202,62.73,37.27,25800,21200,16,317,1,0,6,0,5046.0,Yes
26163504700,Wayne,Michigan,3432,52,3329,3,1,1,9,37,1376,1161,622,539,53.57,46.43,29600,30100,17,594,0,1,10,0,5047.0,Yes
26163504800,Wayne,Michigan,2090,113,1939,5,0,0,9,24,691,608,310,298,50.99,49.01,23700,22800,49,256,2,0,1,0,5048.0,Yes
26163504900,Wayne,Michigan,4105,257,3768,13,18,1,4,44,1457,1423,1005,418,70.63,29.37,65200,64500,120,870,3,0,8,2,5049.0,Yes
26163505000,Wayne,Michigan,1985,122,1802,1,22,0,4,34,793,596,356,240,59.73,40.27,56800,56300,53,294,0,0,6,3,5050.0,Yes
26163505100,Wayne,Michigan,4439,396,3945,5,3,0,8,82,1624,1479,833,646,56.32,43.68,58600,61300,159,657,0,0,14,1,5051.0,Yes
26163505200,Wayne,Michigan,4495,199,4216,10,5,0,10,55,1611,1475,897,578,60.81,39.19,62100,61300,83,802,4,0,5,1,5052.0,Yes
26163505300,Wayne,Michigan,3189,74,3072,6,6,0,0,31,1033,936,493,443,52.67,47.33,64800,62400,24,466,1,0,2,0,5053.0,Yes
26163506100,Wayne,Michigan,2402,339,1898,2,78,0,12,73,852,804,604,200,75.12,24.88,63300,62200,133,447,0,0,13,9,5061.0,Yes
26163506200,Wayne,Michigan,2912,168,2676,4,9,0,8,47,971,902,597,305,66.19,33.81,61400,60300,78,508,1,0,6,2,5062.0,Yes
26163506300,Wayne,Michigan,3430,206,3062,10,81,0,17,54,1153,1062,647,415,60.92,39.08,48000,48800,98,527,2,0,8,8,5063.0,Yes
26163506400,Wayne,Michigan,4202,777,3300,19,24,1,30,51,740,655,359,296,54.81,45.19,32200,31400,88,262,1,0,5,3,5064.0,Yes
26163506500,Wayne,Michigan,3099,124,2910,9,1,0,11,44,1162,1063,749,314,70.46,29.54,43700,43000,40,699,4,0,5,0,5065.0,Yes
26163506600,Wayne,Michigan,4214,211,3928,6,8,0,11,50,1509,1414,999,415,70.65,29.35,51800,51500,99,889,2,0,7,1,5066.0,Yes
26163506700,Wayne,Michigan,1579,160,1367,10,16,0,3,23,574,546,416,130,76.19,23.81,59700,60700,74,334,3,0,2,3,5067.0,Yes
26163506800,Wayne,Michigan,4528,365,4089,8,10,0,2,54,1742,1660,1221,439,73.55,26.45,53300,53600,180,1025,2,0,13,1,5068.0,Yes
26163506900,Wayne,Michigan,4687,248,4343,4,9,1,7,75,1674,1594,1168,426,73.27,26.73,58100,58100,119,1027,1,0,18,3,5069.0,Yes
26163507000,Wayne,Michigan,3310,27,3216,2,8,0,9,48,1347,1248,806,442,64.58,35.42,61300,63300,11,781,0,0,13,1,5070.0,Yes
26163507100,Wayne,Michigan,3446,39,3350,5,5,0,2,45,1401,1271,921,350,72.46,27.54,52300,52400,14,893,2,0,10,1,5071.0,Yes
26163507200,Wayne,Michigan,2043,27,1989,1,1,0,0,25,899,804,527,277,65.55,34.45,35400,34600,10,510,1,0,6,0,5072.0,Yes
26163507300,Wayne,Michigan,4109,75,3966,10,4,0,12,42,1586,1421,911,510,64.11,35.89,42800,43600,27,870,3,0,7,1,5073.0,Yes
26163507400,Wayne,Michigan,4169,156,3938,4,6,1,13,51,1462,1370,861,509,62.85,37.15,43900,43500,38,807,0,0,12,2,5074.0,Yes
26163507500,Wayne,Michigan,3165,183,2933,2,7,0,3,37,1271,1168,695,473,59.5,40.5,51100,51600,77,607,1,0,6,4,5075.0,Yes
26163507600,Wayne,Michigan,2901,407,2341,17,9,1,9,117,1121,971,434,537,44.7,55.3,38800,39200,110,303,3,0,16,1,5076.0,Yes
26163507700,Wayne,Michigan,1629,63,1525,3,11,0,2,25,590,483,221,262,45.76,54.24,27600,27700,22,191,0,0,5,3,5077.0,Yes
26163507800,Wayne,Michigan,1427,164,1222,8,0,1,4,28,552,461,204,257,44.25,55.75,25900,20700,63,134,1,0,5,0,5078.0,Yes
26163507900,Wayne,Michigan,4934,1320,3098,21,43,0,32,420,1755,1524,615,909,40.35,59.65,60700,59800,214,331,1,0,50,14,5079.0,Yes
26163508000,Wayne,Michigan,2526,816,1369,7,6,0,16,312,1085,877,236,641,26.91,73.09,28400,27300,111,88,1,0,35,0,5080.0,Yes
26163510200,Wayne,Michigan,2861,375,2308,3,14,2,15,144,932,841,441,400,52.44,47.56,37800,37500,114,301,0,0,22,2,5102.0,Yes
26163510300,Wayne,Michigan,1711,145,1525,0,1,0,3,37,544,454,194,260,42.73,57.27,28300,28000,49,142,0,0,3,0,5103.0,Yes
26163510400,Wayne,Michigan,2427,43,2315,22,2,1,5,39,1007,849,424,425,49.94,50.06,22000,20400,18,400,0,0,4,0,5104.0,Yes
26163510500,Wayne,Michigan,4731,945,2026,37,1163,4,28,528,1717,1523,892,631,58.57,41.43,35600,34300,315,345,2,2,83,142,5105.0,Yes
26163510600,Wayne,Michigan,3940,1591,1377,4,491,12,52,413,1755,1424,992,432,69.66,30.34,47600,47900,614,203,1,3,89,76,5106.0,Yes
26163510700,Wayne,Michigan,1970,548,820,5,113,0,26,458,589,527,233,294,44.21,55.79,33700,30200,82,102,1,0,28,18,5107.0,Yes
26163510800,Wayne,Michigan,1837,137,1621,10,5,0,15,49,625,555,287,268,51.71,48.29,45100,45100,31,246,1,0,5,1,5108.0,Yes
26163510900,Wayne,Michigan,2151,81,1994,4,28,0,6,38,766,661,375,286,56.73,43.27,35600,35800,23,342,0,0,5,5,5109.0,Yes
26163511100,Wayne,Michigan,8,0,8,0,0,0,0,0,5,4,1,3,25,75,0,0,0,1,0,0,0,0,5111.0,Yes
26163511200,Wayne,Michigan,2041,11,1998,1,1,0,8,22,906,713,333,380,46.7,53.3,27500,30700,2,327,0,0,3,0,5112.0,Yes
26163511500,Wayne,Michigan,2047,49,1910,9,17,0,4,58,863,696,309,387,44.4,55.6,54800,56900,7,293,1,0,6,2,5115.0,Yes
26163511600,Wayne,Michigan,3217,95,3022,11,4,0,15,70,1606,1212,531,681,43.81,56.19,47400,47200,13,508,3,0,6,1,5116.0,Yes
26163511700,Wayne,Michigan,761,7,751,0,0,0,0,3,357,300,142,158,47.33,52.67,28300,27700,0,142,0,0,0,0,5117.0,Yes
26163512100,Wayne,Michigan,5182,114,4932,43,4,0,21,68,1905,1632,766,866,46.94,53.06,61600,61400,27,720,5,0,12,0,5121.0,Yes
26163512200,Wayne,Michigan,1698,43,1626,4,2,0,0,23,521,481,109,372,22.66,77.34,49800,57900,15,92,0,0,1,1,5122.0,Yes
26163512300,Wayne,Michigan,1981,55,1888,4,9,0,3,22,895,748,269,479,35.96,64.04,34300,33700,18,242,0,0,3,4,5123.0,Yes
26163512400,Wayne,Michigan,2545,55,2441,3,0,2,3,41,958,811,386,425,47.6,52.4,40500,35000,21,358,1,0,6,0,5124.0,Yes
26163512600,Wayne,Michigan,3028,142,2840,3,3,0,5,35,1135,982,421,561,42.87,57.13,26800,27300,18,397,0,0,5,1,5126.0,Yes
26163512900,Wayne,Michigan,2998,221,2692,9,7,0,17,52,1411,1063,301,762,28.32,71.68,28900,28300,34,258,1,0,4,0,5129.0,Yes
26163513200,Wayne,Michigan,2793,352,2332,9,14,0,19,67,1194,942,479,463,50.85,49.15,60500,57000,101,358,3,0,13,3,5132.0,Yes
26163513300,Wayne,Michigan,2574,444,2037,5,20,1,9,58,1081,978,567,411,57.98,42.02,73300,81500,178,371,0,0,12,5,5133.0,Yes
26163513400,Wayne,Michigan,2821,50,2701,4,18,0,4,44,1287,1124,442,682,39.32,60.68,59600,87000,9,418,1,0,7,4,5134.0,Yes
26163513500,Wayne,Michigan,681,68,593,5,6,0,0,9,314,243,94,149,38.68,61.32,34400,33900,19,73,1,0,0,1,5135.0,Yes
26163513600,Wayne,Michigan,2689,148,2504,7,3,0,0,27,1082,886,321,565,36.23,63.77,42600,52200,10,309,0,0,2,0,5136.0,Yes
26163513900,Wayne,Michigan,4204,55,4060,34,1,1,11,42,1560,1334,645,689,48.35,51.65,31200,30700,4,632,3,0,5,1,5139.0,Yes
26163514000,Wayne,Michigan,312,31,279,1,0,0,0,1,82,78,23,55,29.49,70.51,20400,20400,1,21,1,0,0,0,5140.0,Yes
26163514100,Wayne,Michigan,5151,54,5038,6,10,1,8,34,2053,1803,912,891,50.58,49.42,26100,24600,4,901,0,0,3,2,5141.0,Yes
26163514300,Wayne,Michigan,4150,39,4053,5,2,0,3,48,1581,1406,823,583,58.53,41.47,31500,30800,7,799,2,0,12,1,5143.0,Yes
26163514500,Wayne,Michigan,1812,8,1773,11,0,0,1,19,736,661,335,326,50.68,49.32,30300,32100,0,330,0,0,4,0,5145.0,Yes
26163514600,Wayne,Michigan,1848,19,1796,3,0,0,9,21,738,638,346,292,54.23,45.77,31800,32200,5,336,0,0,5,0,5146.0,Yes
26163514700,Wayne,Michigan,1706,17,1668,3,1,0,1,16,633,555,307,248,55.32,44.68,31700,30200,4,301,1,0,0,1,5147.0,Yes
26163514800,Wayne,Michigan,1261,25,1206,10,0,0,0,20,490,408,192,216,47.06,52.94,28900,28900,5,183,1,0,3,0,5148.0,Yes
26163514900,Wayne,Michigan,2225,17,2174,5,2,0,1,26,933,857,341,516,39.79,60.21,26300,26400,3,330,3,0,4,0,5149.0,Yes
26163515000,Wayne,Michigan,2455,20,2405,6,1,0,2,21,891,820,526,294,64.15,35.85,34600,34600,3,520,0,0,3,0,5150.0,Yes
26163515100,Wayne,Michigan,2185,63,2091,7,5,1,2,16,836,702,349,353,49.72,50.28,27500,28000,6,339,0,0,3,1,5151.0,Yes
26163515200,Wayne,Michigan,3378,226,3115,3,6,0,1,27,1109,959,489,470,50.99,49.01,29600,28600,5,480,0,0,4,0,5152.0,Yes
26163515300,Wayne,Michigan,3251,367,2777,7,26,0,10,64,1857,1582,279,1303,17.64,82.36,77800,74400,67,207,0,0,4,0,5153.0,Yes
26163515400,Wayne,Michigan,1627,537,1024,5,8,1,10,42,772,699,432,267,61.8,38.2,266000,280800,197,225,0,0,7,1,5154.0,Yes
26163515600,Wayne,Michigan,2266,49,2178,5,1,0,4,29,1022,867,295,572,34.03,65.97,38900,29600,4,288,0,0,3,0,5156.0,Yes
26163515700,Wayne,Michigan,3904,917,2868,10,22,0,28,59,3219,2750,665,2085,24.18,75.82,74300,457700,346,296,4,0,10,5,5157.0,Yes
26163515800,Wayne,Michigan,70,9,61,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,5158.0,Yes
26163516100,Wayne,Michigan,1400,23,1361,5,0,0,0,11,668,509,230,279,45.19,54.81,23100,15000,5,224,0,0,1,0,5161.0,Yes
26163516200,Wayne,Michigan,1625,54,1555,2,1,0,1,12,533,448,191,257,42.63,57.37,31800,30000,4,183,0,0,4,0,5162.0,Yes
26163516300,Wayne,Michigan,1455,103,1333,2,0,0,7,10,502,414,204,210,49.28,50.72,26500,28200,2,200,0,0,1,0,5163.0,Yes
26163516400,Wayne,Michigan,1722,163,1517,5,4,0,11,22,780,660,197,463,29.85,70.15,34400,35000,9,185,1,0,2,0,5164.0,Yes
26163516500,Wayne,Michigan,1500,378,1036,1,37,0,9,39,1018,936,66,870,7.05,92.95,219300,225000,15,51,0,0,0,0,5165.0,Yes
26163516600,Wayne,Michigan,2283,13,2225,2,2,0,5,36,1077,1060,135,925,12.74,87.26,76700,98300,0,134,0,0,1,0,5166.0,Yes
26163516700,Wayne,Michigan,2875,40,2788,5,1,0,11,30,1536,1485,226,1259,15.22,84.78,151000,156100,8,215,0,0,2,0,5167.0,Yes
26163516800,Wayne,Michigan,1832,38,1753,7,0,0,14,20,741,600,282,318,47,53,24700,23000,4,269,1,0,5,0,5168.0,Yes
26163516900,Wayne,Michigan,2144,133,1951,11,3,0,10,36,1481,1417,440,977,31.05,68.95,80500,76300,64,362,0,0,9,0,5169.0,Yes
26163517000,Wayne,Michigan,2258,585,1530,8,62,0,15,58,1745,1592,403,1189,25.31,74.69,104300,111200,141,240,1,0,9,8,5170.0,Yes
26163517100,Wayne,Michigan,1333,169,1121,2,10,0,6,25,1063,928,291,637,31.36,68.64,46600,110400,83,196,1,0,6,3,5171.0,Yes
26163517200,Wayne,Michigan,2921,605,2251,2,15,0,17,31,784,634,13,621,2.05,97.95,0,0,9,4,0,0,0,0,5172.0,Yes
26163517400,Wayne,Michigan,471,81,380,2,0,0,0,8,329,197,32,165,16.24,83.76,117000,106800,7,23,0,0,2,0,5174.0,Yes
26163517500,Wayne,Michigan,2637,233,2244,7,105,0,10,38,1792,1576,14,1562,0.89,99.11,47900,0,1,13,0,0,0,0,5175.0,Yes
26163517600,Wayne,Michigan,1754,17,1701,7,8,1,5,15,813,767,12,755,1.56,98.44,0,0,1,10,0,0,0,1,5176.0,Yes
26163517700,Wayne,Michigan,133,26,100,2,1,1,1,2,56,25,2,23,8,92,0,0,0,2,0,0,0,0,5177.0,Yes
26163517800,Wayne,Michigan,1764,40,1698,0,5,0,5,16,704,665,5,660,0.75,99.25,27500,0,0,5,0,0,0,0,5178.0,Yes
26163517900,Wayne,Michigan,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,5179.0,Yes
26163518000,Wayne,Michigan,1919,536,1268,4,48,0,23,40,1109,985,33,952,3.35,96.65,314300,0,7,25,0,0,1,0,5180.0,Yes
26163518100,Wayne,Michigan,274,33,226,3,3,0,2,7,179,125,13,112,10.4,89.6,9999,9999,0,11,1,0,0,1,5181.0,Yes
26163518400,Wayne,Michigan,1515,276,1141,6,13,1,15,63,735,552,194,358,35.14,64.86,23800,23100,73,109,4,0,6,2,5184.0,Yes
26163518500,Wayne,Michigan,2109,327,1738,2,2,0,5,35,900,681,297,384,43.61,56.39,28400,30700,87,199,1,0,8,1,5185.0,Yes
26163518600,Wayne,Michigan,1515,25,1462,6,1,0,4,17,640,520,222,298,42.69,57.31,15800,14700,7,208,1,0,5,0,5186.0,Yes
26163518800,Wayne,Michigan,1827,58,1749,2,1,1,2,14,799,638,283,355,44.36,55.64,22800,22900,11,270,1,0,1,0,5188.0,Yes
26163520100,Wayne,Michigan,188,95,81,1,2,1,1,7,162,138,7,131,5.07,94.93,65000,0,5,2,0,0,0,0,5201.0,Yes
26163520200,Wayne,Michigan,2410,886,675,4,752,2,34,57,1418,1333,14,1319,1.05,98.95,375000,225000,9,1,0,0,1,3,5202.0,Yes
26163520300,Wayne,Michigan,2211,563,1317,5,221,0,22,83,1629,1227,74,1153,6.03,93.97,150400,122500,51,20,0,0,3,0,5203.0,Yes
26163520400,Wayne,Michigan,1724,425,1083,10,124,4,13,65,1151,1000,43,957,4.3,95.7,72500,57100,23,18,0,0,2,0,5204.0,Yes
26163520500,Wayne,Michigan,1838,75,1728,5,9,0,9,12,621,433,8,425,1.85,98.15,80800,80800,6,2,0,0,0,0,5205.0,Yes
26163520600,Wayne,Michigan,1913,420,1388,33,21,0,10,41,1262,909,21,888,2.31,97.69,29200,27500,9,11,0,0,0,1,5206.0,Yes
26163520700,Wayne,Michigan,1919,374,1461,8,13,0,8,55,2180,1299,15,1284,1.15,98.85,45000,0,5,10,0,0,0,0,5207.0,Yes
26163520800,Wayne,Michigan,1301,363,833,3,57,0,17,28,880,766,5,761,0.65,99.35,137500,0,5,0,0,0,0,0,5208.0,Yes
26163520900,Wayne,Michigan,49,5,40,1,1,0,0,2,1,1,0,1,0,100,0,0,0,0,0,0,0,0,5209.0,Yes
26163521100,Wayne,Michigan,2012,761,414,30,6,2,675,124,769,664,289,375,43.52,56.48,45600,48800,146,38,8,0,15,2,5211.0,Yes
26163521300,Wayne,Michigan,955,144,753,6,0,0,36,16,424,366,176,190,48.09,51.91,28800,18800,32,132,0,0,1,0,5213.0,Yes
26163521400,Wayne,Michigan,1253,630,441,12,4,0,113,53,651,539,171,368,31.73,68.27,71800,66900,134,19,1,0,6,1,5214.0,Yes
26163521500,Wayne,Michigan,1896,412,1323,11,3,0,72,75,1115,776,229,547,29.51,70.49,34200,22700,96,105,2,0,6,1,5215.0,Yes
26163521800,Wayne,Michigan,205,3,201,0,0,0,0,1,399,169,1,168,0.59,99.41,65000,0,0,1,0,0,0,0,5218.0,Yes
26163521900,Wayne,Michigan,3189,653,2397,10,21,0,27,81,1603,1346,318,1028,23.63,76.37,87400,93400,138,168,1,0,9,1,5219.0,Yes
26163522000,Wayne,Michigan,1678,117,1495,8,2,0,23,33,839,693,165,528,23.81,76.19,40000,39000,5,151,2,0,5,1,5220.0,Yes
26163522100,Wayne,Michigan,1871,23,1803,1,0,0,21,23,858,675,334,341,49.48,50.52,36700,36300,5,323,0,0,3,0,5221.0,Yes
26163522200,Wayne,Michigan,1364,58,1270,4,0,0,6,26,585,493,137,356,27.79,72.21,21800,21800,2,128,0,0,6,0,5222.0,Yes
26163522300,Wayne,Michigan,2662,60,2551,8,2,1,7,33,1597,1154,347,807,30.07,69.93,20800,24700,6,336,0,0,4,1,5223.0,Yes
26163522400,Wayne,Michigan,1576,68,1453,2,9,0,25,19,799,638,116,522,18.18,81.82,18500,18700,16,91,0,0,4,4,5224.0,Yes
26163523100,Wayne,Michigan,1956,834,220,12,17,2,774,97,613,543,309,234,56.91,43.09,27300,26000,179,38,3,1,13,6,5231.0,Yes
26163523200,Wayne,Michigan,4675,2481,303,57,17,1,1504,312,1474,1314,596,718,45.36,54.64,30300,31000,383,18,7,0,37,3,5232.0,Yes
26163523300,Wayne,Michigan,3933,1875,170,40,21,0,1651,176,1310,1094,535,559,48.9,51.1,39400,38200,320,16,5,0,27,2,5233.0,Yes
26163523400,Wayne,Michigan,2886,1338,380,41,16,3,955,153,1113,989,347,642,35.09,64.91,47900,46200,212,25,5,0,16,3,5234.0,Yes
26163523500,Wayne,Michigan,1113,641,209,20,4,0,183,56,434,370,136,234,36.76,63.24,42700,44400,87,30,3,0,3,0,5235.0,Yes
26163523600,Wayne,Michigan,1160,271,699,7,0,0,150,33,492,392,191,201,48.72,51.28,23200,23800,50,119,4,0,5,0,5236.0,Yes
26163523700,Wayne,Michigan,1891,1017,402,18,3,0,376,75,754,638,341,297,53.45,46.55,17400,19000,246,47,2,0,8,1,5237.0,Yes
26163523800,Wayne,Michigan,5543,2812,451,77,24,6,1926,247,1715,1571,723,848,46.02,53.98,35900,35000,512,28,7,0,29,4,5238.0,Yes
26163524000,Wayne,Michigan,3457,1822,184,36,24,16,1191,184,1228,1147,466,681,40.63,59.37,38700,39800,321,14,4,3,17,5,5240.0,Yes
26163524100,Wayne,Michigan,4827,2654,220,89,32,14,1482,336,1746,1558,645,913,41.4,58.6,33000,33100,447,15,9,1,32,4,5241.0,Yes
26163524200,Wayne,Michigan,5787,3292,333,90,30,4,1689,349,1934,1754,894,860,50.97,49.03,36300,35400,628,10,11,1,46,7,5242.0,Yes
26163524300,Wayne,Michigan,3236,1900,198,79,2,2,888,167,1118,1023,500,523,48.88,51.12,30900,23800,358,8,10,0,22,0,5243.0,Yes
26163524500,Wayne,Michigan,1596,1000,268,10,34,0,221,63,596,530,299,231,56.42,43.58,30700,31300,216,35,0,0,12,4,5245.0,Yes
26163524700,Wayne,Michigan,5282,36,5160,10,3,0,19,54,2267,2090,1450,640,69.38,30.62,49600,49100,5,1429,0,0,12,1,5247.0,Yes
26163524800,Wayne,Michigan,3637,44,3522,12,9,1,6,43,1440,1353,1051,302,77.68,22.32,46700,45800,12,1025,2,0,8,1,5248.0,Yes
26163525100,Wayne,Michigan,1956,18,1898,5,3,0,7,25,841,676,305,371,45.12,54.88,30100,33300,3,300,0,0,2,0,5251.0,Yes
26163525200,Wayne,Michigan,1892,23,1820,8,1,1,0,39,801,666,253,413,37.99,62.01,22200,23800,2,245,0,0,5,1,5252.0,Yes
26163525300,Wayne,Michigan,842,4,823,0,4,0,0,11,387,315,153,162,48.57,51.43,26400,25000,1,150,0,0,1,1,5253.0,Yes
26163525400,Wayne,Michigan,3179,576,2138,13,76,5,304,67,1256,1079,476,603,44.11,55.89,29800,31000,123,294,0,0,11,14,5254.0,Yes
26163525500,Wayne,Michigan,1720,263,1195,1,26,0,174,61,650,545,288,257,52.84,47.16,22800,23000,58,196,0,0,7,3,5255.0,Yes
26163525600,Wayne,Michigan,2320,1218,348,24,32,5,547,146,825,713,344,369,48.25,51.75,27400,28700,254,18,2,0,22,3,5256.0,Yes
26163525700,Wayne,Michigan,5395,3003,367,53,102,0,1613,257,2066,1748,929,819,53.15,46.85,34600,34000,698,19,9,0,39,19,5257.0,Yes
26163525800,Wayne,Michigan,2568,1359,353,25,13,27,653,138,882,794,376,418,47.36,52.64,36500,32700,258,27,7,1,20,2,5258.0,Yes
26163526000,Wayne,Michigan,3401,1915,322,28,16,2,746,372,1222,1091,613,478,56.19,43.81,39100,38400,419,56,6,1,46,4,5260.0,Yes
26163526100,Wayne,Michigan,2814,1847,195,23,29,3,249,468,937,869,482,387,55.47,44.53,49700,48000,361,19,3,0,67,2,5261.0,Yes
26163526200,Wayne,Michigan,3549,1919,573,30,14,1,482,530,1194,1050,622,428,59.24,40.76,45000,41600,419,66,6,1,69,2,5262.0,Yes
26163526300,Wayne,Michigan,4812,2095,1138,39,60,0,1178,302,1621,1405,677,728,48.19,51.81,39400,38900,427,102,4,0,30,11,5263.0,Yes
26163526400,Wayne,Michigan,2170,544,945,19,16,2,575,69,747,664,313,351,47.14,52.86,29600,25700,124,116,1,0,12,2,5264.0,Yes
26163526500,Wayne,Michigan,3557,65,3423,12,1,0,7,49,1482,1304,705,599,54.06,45.94,35100,34900,14,689,0,0,2,0,5265.0,Yes
26163530100,Wayne,Michigan,4172,31,4038,13,0,0,7,83,1850,1610,907,703,56.34,43.66,48000,39800,7,873,4,0,21,0,5301.0,Yes
26163530200,Wayne,Michigan,5228,612,4447,6,44,0,46,73,1788,1608,963,645,59.89,40.11,70400,73500,16,931,2,0,12,0,5302.0,Yes
26163530300,Wayne,Michigan,2739,26,2645,17,12,0,14,25,1143,975,497,478,50.97,49.03,42600,45800,4,479,5,0,5,2,5303.0,Yes
26163530400,Wayne,Michigan,2245,9,2210,4,0,0,5,17,1101,960,322,638,33.54,66.46,55200,56800,1,319,0,0,2,0,5304.0,Yes
26163530500,Wayne,Michigan,2965,13,2908,2,6,1,10,25,1242,1156,700,456,60.55,39.45,95600,103700,1,690,0,0,5,2,5305.0,Yes
26163530700,Wayne,Michigan,3049,38,2963,1,12,0,1,34,1431,1154,385,769,33.36,66.64,39800,37600,1,380,0,0,2,2,5307.0,Yes
26163530800,Wayne,Michigan,3491,31,3425,6,3,0,8,18,1594,1237,481,756,38.88,61.12,30100,27800,6,473,0,0,1,0,5308.0,Yes
26163531000,Wayne,Michigan,1628,5,1596,8,1,0,1,17,676,583,245,338,42.02,57.98,38300,31100,3,241,0,0,1,0,5310.0,Yes
26163531100,Wayne,Michigan,1943,52,1837,9,2,0,14,29,1103,829,188,641,22.68,77.32,45800,45200,2,182,0,0,2,0,5311.0,Yes
26163531200,Wayne,Michigan,3507,79,3352,10,3,0,18,45,1229,1125,874,251,77.69,22.31,114300,117600,31,826,3,0,12,0,5312.0,Yes
26163531300,Wayne,Michigan,1928,8,1899,6,0,0,0,15,882,735,260,475,35.37,64.63,46900,46400,1,256,1,0,2,0,5313.0,Yes
26163531400,Wayne,Michigan,2513,9,2473,2,2,0,8,19,1076,912,528,384,57.89,42.11,65700,68200,0,526,0,0,0,0,5314.0,Yes
26163531500,Wayne,Michigan,4544,29,4447,5,4,2,3,54,2142,1722,594,1128,34.49,65.51,50100,54700,1,584,0,0,9,0,5315.0,Yes
26163531600,Wayne,Michigan,2720,13,2637,13,6,2,4,45,1219,1102,410,692,37.21,62.79,59400,62700,2,397,4,0,4,3,5316.0,Yes
26163531700,Wayne,Michigan,2789,17,2698,7,0,1,5,61,1321,1132,379,753,33.48,66.52,58400,58400,5,366,0,0,8,0,5317.0,Yes
26163531800,Wayne,Michigan,3632,22,3571,6,5,0,13,15,1634,1384,612,772,44.22,55.78,35800,36300,2,603,2,0,2,0,5318.0,Yes
26163531900,Wayne,Michigan,1998,62,1889,4,8,0,1,34,925,657,216,441,32.88,67.12,29500,38800,3,212,1,0,0,0,5319.0,Yes
26163532200,Wayne,Michigan,2299,50,2196,3,2,0,9,39,934,807,399,408,49.44,50.56,55400,54700,4,390,0,0,4,0,5322.0,Yes
26163532300,Wayne,Michigan,1349,174,1130,4,5,0,9,27,546,476,319,157,67.02,32.98,138800,148000,56,247,1,0,11,3,5323.0,Yes
26163532400,Wayne,Michigan,2334,111,2155,9,6,0,9,44,1027,838,245,593,29.24,70.76,86200,88400,9,229,2,0,3,1,5324.0,Yes
26163532500,Wayne,Michigan,3069,167,2795,5,16,0,9,77,1963,1654,162,1492,9.79,90.21,142000,156000,20,137,1,0,3,1,5325.0,Yes
