DLBA Sale ID,Address,Sale Closed Date,Final Sale Price,Program,Block Range,Council District,Neighborhood,Zip Code,Street Number,Street Prefix,Street Name,Street Type,Parcel ID,Address ID,Longitude,Latitude,ObjectId,x,y
A-248471,5659 Harding,2019-10-04,1000,Own It Now,5600-5799 Harding St,4,West End,48213,5659,,HARDING,St,21039627.,293473,-82.9959319796196,42.3901340942748,2110,-9239064.88588443,5219599.97735742
A-306642,15756 Chatham,2021-07-15,3000,Own It Now,15700-15799 Chatham St,1,Brightmoor,48223,15756,,CHATHAM,St,22116967.,131587,-83.2628945251796,42.4051279520707,2111,-9268783.02051704,5221860.16226395
A-268345,17387 Klinger,2020-08-25,3600,Own It Now,17318-17799 Klinger St,3,Cadillac Heights,48212,17387,,KLINGER,St,09009373.,279988,-83.0682777496373,42.422457934752,2112,-9247118.38016385,5224473.1694112
A-299157,14655 Turner,2021-07-27,1600,Own It Now,14500-14799 Turner St,7,Chalfonte,48238,14655,,TURNER,St,16028094.,94867,-83.1482786508909,42.3975776521946,2113,-9256024.0397544,5220721.95712904
A-301804,2708 Tyler,2021-06-16,1000,Own It Now,2600-2899 Tyler St,2,Dexter-Linwood,48238,2708,,TYLER,St,10004121.,541635,-83.1230697573485,42.3909792286896,2114,-9253217.79856179,5219727.35916647
A-245626,15358 Stansbury,2019-09-06,4500,Own It Now,15300-15399 Stansbury St,2,Bethune Community,48227,15358,,STANSBURY,St,22033398.,87678,-83.1820154812649,42.4029626741533,2115,-9259779.60653261,5221533.7333476
A-271519,13722 Capitol,2020-08-25,1400,Own It Now,13600-13899 Capitol St,7,Paveway,48227,13722,,CAPITOL,St,22006476.,208973,-83.1806178499783,42.3772306998914,2116,-9259624.02292947,5217655.34261141
A-132061,20010 Waltham,2017-05-08,1000,Own It Now,20000-20199 Waltham St,3,Conner Creek,48205,20010,,WALTHAM,St,21032721.,171944,-82.9948737354079,42.4439966293764,2117,-9238947.08267764,5227721.77115718
A-376937,14001 St Aubin,2023-09-19,1100,Demo Pull Sale,13800-14199 Saint Aubin St,3,North Campau,48212,14001,,ST AUBIN,St,09016141.,271476,-83.0794186132747,42.4149173397054,2118,-9248358.57543096,5223336.11307904
A-302165,17172 Justine,2021-05-28,1000,Own It Now,17100-17308 Justine St,3,Davison,48212,17172,,JUSTINE,St,13018710.,270617,-83.0578876000138,42.4198697001948,2119,-9245961.75399849,5224082.87067602
A-299467,7690 Bryden,2021-07-08,1000,Own It Now,7600-7999 Bryden St,6,Midwest,48210,7690,,BRYDEN,St,18013883.,185291,-83.1448466625893,42.3501919760031,2120,-9255641.99256425,5213581.7070861
A-332796,12645 Washburn,2022-03-31,2100,Own It Now,12600-13099 Washburn St,7,Grand River-I96,48238,12645,,WASHBURN,St,16039953.,213340,-83.1602168494015,42.3813997996189,2121,-9257352.99393358,5218283.61235382
A-332395,4164 Philip,2022-03-23,4000,Own It Now,4100-4299 Philip St,4,Fox Creek,48215,4164,,PHILIP,St,21060204.,305948,-82.9525844370788,42.3900829476694,2122,-9234239.45952165,5219592.26840545
A-263792,3772 Montgomery,2020-06-24,2500,Own It Now,3700-3999 Montgomery St,5,Petoskey-Otsego,48206,3772,,MONTGOMERY,St,14002653.,80852,-83.1134387256582,42.3614683007488,2123,-9252145.67701822,5215280.37730319
A-379243,3040 Pingree,2023-09-27,6500,Own It Now,2900-3199 Pingree St,5,Jamison,48206,3040,,PINGREE,St,12002123.,55965,-83.1108609369285,42.3669180076375,2124,-9251858.71888945,5216101.43266822
A-350510,13900 Lumpkin,2022-12-13,8500,Own It Now,13886-14199 Lumpkin St,3,North Campau,48212,13900,,LUMPKIN,St,09015038.,271468,-83.0770192713663,42.4142441619534,2125,-9248091.48191147,5223234.61036043
A-273961,15925 Evanston,2020-10-27,4000,Own It Now,15800-15999 Evanston St,4,Outer Drive-Hayes,48224,15925,,EVANSTON,St,21005352.,303262,-82.9491384093039,42.4099687320881,2126,-9233855.84946449,5222589.980271
A-273104,2982 Vicksburg,2020-11-16,5400,Own It Now,2900-3199 Vicksburg St,5,Wildemere Park,48206,2982,,VICKSBURG,St,12001765.,85725,-83.108023228683,42.3643789408155,2127,-9251542.82665254,5215718.88682304
A-272122,17327 Greeley,2020-09-17,2400,Own It Now,17300-17499 Greeley St,3,Cadillac Heights,48203,17327,,GREELEY,St,09019644.,279470,-83.0875567299242,42.4205233363345,2128,-9249264.50643239,5224181.4357084
A-145562,13666 Thornton,2018-05-16,1000,Own It Now,13600-13899 Thornton St,7,Paveway,48227,13666,,THORNTON,St,22006316.,203999,-83.1794921499887,42.3748667499113,2129,-9259498.71057984,5217299.12158374
A-273551,8728 Quincy,2020-10-08,17000,Own It Now,8701-8749 Quincy St,5,Petoskey-Otsego,48204,8728,,QUINCY,St,14006636.,543741,-83.1191250469819,42.364848253925,2130,-9252778.67541246,5215789.59422671
A-336457,14544 Monica,2022-06-01,1500,Own It Now,14500-14799 Monica St,7,Chalfonte,48238,14544,,MONICA,St,16021127.,86921,-83.1429661723821,42.3960725304126,2131,-9255432.65735194,5220495.0769048
A-304709,16250 Marlowe,2021-06-17,10100,Demo Pull Sale,16100-16499 Marlowe St,1,Hubbell-Puritan,48235,16250,,MARLOWE,St,22040822.003,140568,-83.1901251264874,42.4111982023745,2132,-9260682.36810929,5222775.34977093
A-356172,17837 Dwyer,2023-03-21,1400,Own It Now - Bundled Property,17800-17999 Dwyer St,3,Davison,48212,17837,,DWYER,St,13012038.,272917,-83.041593800016,42.4253935501827,2133,-9244147.93647965,5224915.87173916
A-380742,1968 Fullerton,2023-12-12,1000,Demo Pull Sale,1900-2199 Fullerton St,5,Dexter-Linwood,48238,1968,,FULLERTON,St,08004140.,40274,-83.1115884497609,42.3916935499705,2134,-9251939.7052475,5219835.02566989
A-293846,8062 Montlieu,2021-03-17,1000,Demo Pull Sale,8000-8159 Montlieu St,3,Airport Sub,48234,8062,,MONTLIEU,St,17003104.,338654,-83.0220755518871,42.4097111041563,2135,-9241975.17503676,5222551.1376936
A-149759,19436 Murray Hill,2017-10-18,1500,Own It Now,19400-19699 Murray Hill St,2,Greenfield,48235,19436,,MURRAY HILL,St,22060204.,53723,-83.2081958265319,42.4345265734184,2136,-9262693.98923652,5226293.3000747
A-304877,7509 Chrysler,2021-07-13,3700,Own It Now,0-7567 Chrysler Dr,5,North End,48211,7509,,CHRYSLER,Dr,05003805.,341878,-83.0625639661408,42.3765008596887,2137,-9246482.32469451,5217545.3623615
A-270553,20519 Barlow,2021-04-28,1500,Own It Now,20500-20615 Barlow St,3,Conner Creek,48205,20519,,BARLOW,St,21033268.,225895,-82.9969283889548,42.4476984564033,2138,-9239175.80566424,5228280.21650889
A-175684,9690 Everts,2018-09-27,1000,Demo Pull Sale,9600-9737 Everts St,4,Yorkshire Woods,48224,9690,,EVERTS,St,21072685.,296504,-82.9459998969637,42.415156485286,2139,-9233506.47186892,5223372.17205909
A-254793,14613 Cruse,2020-03-05,1000,Own It Now,14530-14799 Cruse St,2,Bethune Community,48227,14613,,CRUSE,St,22034432.,84217,-83.1834887500278,42.3963731502436,2140,-9259943.6100611,5220540.39153709
A-299394,5126 Fairview,2021-06-07,1000,Demo Pull Sale,5000-5499 Fairview St,4,West End,48213,5126,,FAIRVIEW,St,21042240.,301125,-82.988061577322,42.387794114806,2141,-9238188.75670832,5219247.29587827
A-295902,74 W Nevada,2021-04-15,2100,Own It Now,1-399 W Nevada St,2,Grixdale Farms,48203,74,W,NEVADA,St,01005426.,47848,-83.1035683700971,42.4248011304271,2142,-9251046.91406321,5224826.53084547
