FIPS,COUNTY,STATE,In city of Detroit?,Tract_numeric,Persons,Persons: White,Persons: Black,"Persons: American Indian, Eskimo, or Aleut",Persons: Asian or Pacific Islander,Persons: Other race,Housing units,Occupied housing units,Occupied housing units: Owner occupied,Occupied housing units: Renter occupied,% Occupied housing units: Owner occupied,% Occupied housing units: Renter occupied,Median Value for Specified owner-occupied housing units,Owner occupied >> White,Owner occupied >> Black,"Owner occupied >> American Indian, Eskimo, or Aleut",Owner occupied >> Asian or Pacific Islander,Owner occupied >> Other race
26163591900,Wayne,Michigan,No,5919,4963,4797,29,11,104,22,1614,1584,1360,224,85.86,14.14,79800,1338,3,3,13,6
26163592000,Wayne,Michigan,No,5920,1884,1863,9,8,2,2,692,661,550,111,83.21,16.79,62100,547,0,0,1,0
26163593000,Wayne,Michigan,No,5930,4632,4465,32,23,91,21,1636,1543,1037,506,67.21,32.79,81200,1020,3,3,8,5
26163593100,Wayne,Michigan,No,5931,6997,6702,44,22,174,55,2497,2413,1774,639,73.52,26.48,94000,1730,6,4,22,12
26163594000,Wayne,Michigan,No,5940,2690,2623,3,19,25,20,1269,1198,526,672,43.91,56.09,50100,518,0,0,2,4
26163594100,Wayne,Michigan,No,5941,4934,4815,8,16,82,13,1910,1877,1626,251,86.63,13.37,103300,1611,0,3,10,2
26163594200,Wayne,Michigan,No,5942,2977,2929,0,8,34,6,1060,1046,998,48,95.41,4.59,77900,1007,0,5,6,2
26163594300,Wayne,Michigan,No,5943,3576,3531,6,4,27,8,1334,1287,1211,76,94.09,5.91,76900,1220,0,2,3,1
26163594400,Wayne,Michigan,No,5944,2477,2449,1,15,8,4,1087,1060,606,454,57.17,42.83,55700,587,0,3,1,0
26163594500,Wayne,Michigan,No,5945,3928,3842,14,5,61,6,1419,1387,1052,335,75.85,24.15,89000,1051,0,0,1,0
26163595000,Wayne,Michigan,No,5950,4607,4553,14,17,18,5,1817,1774,1359,415,76.61,23.39,53200,1350,1,4,4,0
26163595100,Wayne,Michigan,No,5951,6052,5700,98,11,216,27,2066,2011,1141,870,56.74,43.26,113100,1097,5,0,38,1
26163595200,Wayne,Michigan,No,5952,3235,3100,51,6,71,7,1344,1281,723,558,56.44,43.56,119400,712,2,1,7,1
26163596000,Wayne,Michigan,No,5960,6140,5827,7,22,274,10,2254,2181,2019,162,92.57,7.43,149000,1954,0,7,53,5
26163596100,Wayne,Michigan,No,5961,3641,3547,1,13,75,5,1378,1325,1211,114,91.4,8.6,147700,1190,0,5,16,0
26163597000,Wayne,Michigan,No,5970,4293,4238,7,18,18,12,1662,1579,1148,431,72.7,27.3,76800,1138,1,3,2,3
26163598000,Wayne,Michigan,No,5980,3149,3084,2,20,33,10,1135,1095,753,342,68.77,31.23,62800,741,1,7,3,2
26163599000,Wayne,Michigan,No,5990,2644,2586,25,8,10,15,1235,1108,824,284,74.37,25.63,65100,742,3,1,1,1
26163599100,Wayne,Michigan,No,5991,4638,4528,27,25,32,26,1594,1562,1019,543,65.24,34.76,67500,1081,2,3,5,3
