FIPS,COUNTY,STATE,In city of Detroit?,Tract_numeric,Persons,Persons: White,Persons: Black,"Persons: American Indian, Eskimo, or Aleut",Persons: Asian or Pacific Islander,Persons: Other race,Housing units,Occupied housing units,Occupied housing units: Owner occupied,Occupied housing units: Renter occupied,% Occupied housing units: Owner occupied,% Occupied housing units: Renter occupied,Median Value for Specified owner-occupied housing units,Owner occupied >> White,Owner occupied >> Black,"Owner occupied >> American Indian, Eskimo, or Aleut",Owner occupied >> Asian or Pacific Islander,Owner occupied >> Other race
26099221000,Macomb,Michigan,No,2210,7464,7277,89,14,66,18,3098,2764,1947,817,70.44,29.56,100500,1927,7,4,8,1
26099221100,Macomb,Michigan,No,2211,5419,5330,34,15,34,6,2047,1890,1541,349,81.53,18.47,88100,1530,1,4,5,1
26099221200,Macomb,Michigan,No,2212,5198,4829,239,34,76,20,1582,1518,1044,474,68.77,31.23,86700,1033,5,4,2,0
26099221300,Macomb,Michigan,No,2213,6179,6088,18,21,38,14,2143,2060,1726,334,83.79,16.21,92800,1737,1,4,4,5
26099221400,Macomb,Michigan,No,2214,1645,1632,4,5,2,2,724,684,518,166,75.73,24.27,92900,491,0,2,0,0
26099223000,Macomb,Michigan,No,2230,2155,2138,1,10,2,4,764,743,678,65,91.25,8.75,91200,642,1,3,0,0
26099223100,Macomb,Michigan,No,2231,6407,6321,18,11,52,5,2001,1930,1888,42,97.82,2.18,115800,1903,5,2,9,1
26099223200,Macomb,Michigan,No,2232,8561,8362,66,12,104,17,2713,2671,2607,64,97.6,2.4,113200,2554,18,4,25,6
26099223300,Macomb,Michigan,No,2233,2929,2884,9,14,18,4,1178,1128,1054,74,93.44,6.56,91900,1021,2,4,2,2
26099223400,Macomb,Michigan,No,2234,2662,2617,15,11,12,7,906,883,819,64,92.75,7.25,81600,835,3,2,1,1
26099225000,Macomb,Michigan,No,2250,3959,3893,2,4,57,3,1165,1126,1104,22,98.05,1.95,186900,1084,1,1,10,1
26099225100,Macomb,Michigan,No,2251,2416,2377,1,16,19,3,790,784,646,138,82.4,17.6,94900,659,0,2,3,0
26099225200,Macomb,Michigan,No,2252,3116,3076,6,9,23,2,1052,1018,842,176,82.71,17.29,116300,809,2,6,6,1
26099225300,Macomb,Michigan,No,2253,3161,3125,1,4,30,1,1043,1000,976,24,97.6,2.4,129000,971,1,1,4,1
26099225400,Macomb,Michigan,No,2254,3579,3534,6,14,23,2,1159,1118,1094,24,97.85,2.15,138600,1074,1,3,5,0
26099225500,Macomb,Michigan,No,2255,4655,4579,9,15,39,13,1703,1646,1210,436,73.51,26.49,110200,1199,1,2,7,1
26099225600,Macomb,Michigan,No,2256,4181,3979,28,21,126,27,1676,1554,969,585,62.36,37.64,65500,958,1,5,3,2
26099225700,Macomb,Michigan,No,2257,5250,5006,55,24,145,20,2587,2302,816,1486,35.45,64.55,68700,809,0,2,4,1
26099225800,Macomb,Michigan,No,2258,5441,5369,10,14,39,9,1989,1946,1401,545,71.99,28.01,86200,1388,2,2,7,2
26099225900,Macomb,Michigan,No,2259,4832,4783,8,19,15,7,1555,1535,1399,136,91.14,8.86,89700,1389,3,5,1,1
26099226000,Macomb,Michigan,No,2260,8075,7954,15,13,68,25,2911,2807,2723,84,97.01,2.99,144900,2698,7,4,13,3
26099228000,Macomb,Michigan,No,2280,3274,3175,15,21,52,11,1182,1162,585,577,50.34,49.66,92700,602,2,1,6,2
26099228100,Macomb,Michigan,No,2281,1797,1723,5,9,39,21,780,726,336,390,46.28,53.72,68000,303,0,2,0,1
26099230000,Macomb,Michigan,No,2300,3360,3274,18,11,56,1,1772,1488,570,918,38.31,61.69,132000,557,2,1,9,1
26099230100,Macomb,Michigan,No,2301,9647,9487,24,12,100,24,2924,2841,2603,238,91.62,8.38,109800,2577,4,2,18,2
26099230200,Macomb,Michigan,No,2302,5619,5512,18,15,67,7,1629,1629,1591,38,97.67,2.33,87900,1564,6,6,13,3
26099230300,Macomb,Michigan,No,2303,4660,4510,34,27,66,23,1525,1478,1080,398,73.07,26.93,83300,1052,5,4,13,5
26099230400,Macomb,Michigan,No,2304,4074,4039,2,10,19,4,1463,1449,1210,239,83.51,16.49,85100,1206,0,2,2,0
26099230500,Macomb,Michigan,No,2305,3392,3286,17,12,54,23,1725,1637,925,712,56.51,43.49,80400,912,2,4,5,6
26099230600,Macomb,Michigan,No,2306,1569,1506,1,6,56,0,718,498,452,46,90.76,9.24,103400,437,0,0,11,0
26099230700,Macomb,Michigan,No,2307,5286,4871,16,6,388,5,1530,1513,1474,39,97.42,2.58,116900,1399,6,1,88,1
26099230800,Macomb,Michigan,No,2308,4939,4642,18,7,264,8,1765,1728,1664,64,96.3,3.7,101400,1602,2,2,57,1
26099230900,Macomb,Michigan,No,2309,8210,8053,17,18,102,20,3179,3100,2252,848,72.65,27.35,84000,2226,2,5,15,4
26099231000,Macomb,Michigan,No,2310,4900,4806,13,2,67,12,1523,1482,1348,134,90.96,9.04,87300,1332,2,1,13,0
26099231100,Macomb,Michigan,No,2311,3119,3057,21,10,23,8,1459,1402,907,495,64.69,35.31,83300,897,3,3,3,1
26099231200,Macomb,Michigan,No,2312,3817,3705,12,16,73,11,1494,1422,1038,384,73,27,93700,1020,1,2,10,3
