Tract,State,County_name,GISJOIN,GISJOIN2,GeoRecType,Total_Population,White_Population,Black_Population,Occupied_Housing_Units,Occupied_Housing_Units_Owner,Occupied_Housing_Units_Renter,Count_Owner_Occupied_units,Avg_Value_OO_units,Count_Black_OO_units,Avg_Value_Black_OO_units,Count_Vacant_For_Sale_Only_Housing_Units,Avg_Vacant_For_Sale_Only,Total_Housing_Units,Count_Units_Value_Tabulated,less than 5k,5k_to_7499,7.5k_to_9999,10k_to_12499,12.5k_to_14999,15k_to_17499,17.5k_to_19999,20k_to_24999,25k_to_34999,35k_to_49999,50k_or_more,Tract_str,In city of Detroit?,% White Population,% Black Population,% Owner Occupied (OO) units,% Black OO units,Median_Housing_Value
924.17,MI,"Census Tract 924.17, Wayne County, Michigan",G2601630092417,2601630092417,1,2128,2128.0,0,516.0,477.0,39,477.0,25990.5660377359,,,,,522,477.0,0.0,0.0,6.0,12.0,0.0,44.0,50.0,114.0,221.0,25.0,5.0,924.17,No,100.0,0.0,92.44186046511628,,25588.176470588234
924.18,MI,"Census Tract 924.18, Wayne County, Michigan",G2601630092418,2601630092418,1,2308,2308.0,0,719.0,480.0,239,460.0,23331.5217391304,,,,,813,460.0,0.0,11.0,5.0,14.0,38.0,63.0,53.0,141.0,93.0,32.0,10.0,924.18,No,100.0,0.0,66.75938803894297,,21648.606382978724
924.19,MI,"Census Tract 924.19, Wayne County, Michigan",G2601630092419,2601630092419,1,3156,3150.0,0,769.0,717.0,52,717.0,25488.1450488145,,,,,773,717.0,0.0,5.0,9.0,15.0,17.0,43.0,47.0,216.0,345.0,13.0,7.0,924.19,No,99.80988593155894,0.0,93.23797139141743,,25202.878260869566
925.1,MI,"Census Tract 925.1, Wayne County, Michigan",G2601630092501,2601630092501,1,336,336.0,0,93.0,,,93.0,28422.0430107527,,,,,101,93.0,7.0,0.0,0.0,0.0,0.0,5.0,24.0,8.0,21.0,23.0,5.0,925.1,No,100.0,0.0,,,26428.428571428572
925.2,MI,"Census Tract 925.2, Wayne County, Michigan",G2601630092502,2601630092502,1,570,570.0,0,144.0,118.0,26,112.0,30167.4107142857,,,,,144,112.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,17.0,40.0,34.0,0.0,925.2,No,100.0,0.0,81.94444444444444,,29624.5375
925.3,MI,"Census Tract 925.3, Wayne County, Michigan",G2601630092503,2601630092503,1,2333,2327.0,0,559.0,,,559.0,39467.7996422182,,,,,588,559.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,134.0,415.0,6.0,925.3,No,99.7428204029147,0.0,,,40132.18795180723
925.4,MI,"Census Tract 925.4, Wayne County, Michigan",G2601630092504,2601630092504,1,1039,1033.0,0,297.0,,,288.0,26883.6805555556,,,,,300,288.0,0.0,0.0,5.0,10.0,39.0,0.0,20.0,50.0,122.0,36.0,6.0,925.4,No,99.42252165543792,0.0,,,26680.159836065573
925.5,MI,"Census Tract 925.5, Wayne County, Michigan",G2601630092505,2601630092505,1,5477,5446.0,0,1302.0,,,1268.0,38680.9936908517,,,,,1316,1268.0,0.0,0.0,0.0,0.0,5.0,14.0,21.0,55.0,360.0,712.0,101.0,925.5,No,99.43399671352931,0.0,,,38781.349016853936
925.6,MI,"Census Tract 925.6, Wayne County, Michigan",G2601630092506,2601630092506,1,5431,5427.0,0,1203.0,,,1186.0,39637.436762226,,,,,1214,1186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,291.0,789.0,63.0,925.6,No,99.92634873872215,0.0,,,39933.131178707226
925.7,MI,"Census Tract 925.7, Wayne County, Michigan",G2601630092507,2601630092507,1,1919,1919.0,0,428.0,,,428.0,41839.953271028,,,,,438,428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,343.0,26.0,925.7,No,100.0,0.0,,,41799.838192419826
925.8,MI,"Census Tract 925.8, Wayne County, Michigan",G2601630092508,2601630092508,1,6276,6276.0,0,1459.0,,,1435.0,29450.3484320558,,,,,1470,1435.0,0.0,0.0,0.0,0.0,0.0,15.0,34.0,235.0,1026.0,125.0,0.0,925.8,No,100.0,0.0,,,29229.59649122807
