TRACTA,GISJOIN_y,Year,State Name,County Name,Geo_name,GISJOIN2,Total_Population,Total_Pop_White,Total_Pop_Black,Total_Pop_American_Indian,Total_Pop_Asian_Pacific_Islander,Total_Pop_Other,Percent_Pop_White,Percent_Pop_Black,Percent_Pop_American_Indian,Percent_Pop_Asian_Pacific_Islander,Percent_Pop_Other,Owner_Occupied_Housing_Units,Renter_Occupied_Housing_Units,Percent_Owner_Occupied_Housing_Units,Percent_Renter_Occupied_Housing_Units,Median_Owner_Costs_With_Mortgage,Median_Owner_Costs_Not_Mortgaged,Tract_numeric,In city of Detroit?,Owner occupied,Renter occupied,"American Indian, Eskimo, and Aleut",Asian and Pacific Islander,Owner occupied >> White,Owner occupied >> Black,"Owner occupied >> American Indian, Eskimo, and Aleut",Owner occupied >> Asian and Pacific Islander,Owner occupied >> Other,Renter occupied >> White,Renter occupied >> Black,"Renter occupied >> American Indian, Eskimo, and Aleut",Renter occupied >> Asian and Pacific Islander,Renter occupied >> Other,"Less than $10,000","$10,000-$14,999","$15,000-$19,999","$20,000-$24,999","$25,000-$29,999","$30,000-$34,999","$35,000-$39,999","$40,000-$49,999","$50,000-$79,999","$80,000-$99,999","$100,000-$149,999","$150,000-$199,999","$200,000 or more",Median value,% Black OO units
203803,G2600990203803,1980,Michigan,Macomb,Census Tract 2038.3,2600990203803,2749,1993,682,6,17,51,72.5,24.81,0.22,0.62,1.86,526,516,50.48,49.52,376,163,2038.3,No,526,516,3,3,449,71,0,0,3,369,137,0,0,7,9,9,21,24,34,58,42,48,65,9,5,0,2,35952,13.498098859315588
203804,G2600990203804,1980,Michigan,Macomb,Census Tract 2038.4,2600990203804,3671,3581,48,4,28,10,97.55,1.31,0.11,0.76,0.27,932,404,69.76,30.24,488,214,2038.4,No,932,404,1,9,917,3,0,7,0,380,19,0,2,0,0,1,2,2,5,5,13,50,502,23,23,3,2,64193,0.3218884120171674
203805,G2600990203805,1980,Michigan,Macomb,Census Tract 2038.5,2600990203805,7372,7235,31,17,61,28,98.14,0.42,0.23,0.83,0.38,1992,178,91.8,8.2,552,251,2038.5,No,1992,178,5,19,1963,5,0,17,0,170,4,0,2,0,2,0,0,0,2,9,7,25,788,661,168,10,1,80106,0.25100401606425704
203806,G2600990203806,1980,Michigan,Macomb,Census Tract 2038.6,2600990203806,2073,2061,1,2,7,2,99.42,0.05,0.1,0.34,0.1,803,61,92.94,7.06,609,119,2038.6,No,850,53,0,2,848,0,0,0,0,51,0,0,0,0,5,12,8,1,0,1,1,9,107,143,19,0,0,81259,0.0
203807,G2600990203807,1980,Michigan,Macomb,Census Tract 2038.7,2600990203807,3918,3839,17,11,40,11,97.98,0.43,0.28,1.02,0.28,1092,344,76.04,23.96,571,204,2038.7,No,1045,352,3,12,1020,6,0,12,0,350,0,0,0,0,0,0,3,0,2,4,3,16,603,143,35,2,0,68781,0.5741626794258373
203901,G2600990203901,1980,Michigan,Macomb,Census Tract 2039.1,2600990203901,4835,4758,7,4,54,12,98.41,0.14,0.08,1.12,0.25,1341,56,95.99,4.01,523,251,2039.1,No,1341,56,1,11,1320,0,0,11,7,56,0,0,0,0,1,1,6,8,21,26,16,62,367,283,333,64,32,87208,0.0
203902,G2600990203902,1980,Michigan,Macomb,Census Tract 2039.2,2600990203902,4138,4048,51,7,19,13,97.83,1.23,0.17,0.46,0.31,1116,430,72.19,27.81,520,249,2039.2,No,1116,430,2,6,1099,10,0,5,0,412,13,0,1,0,7,13,18,12,10,11,4,19,201,144,54,2,1,72985,0.8960573476702508
203904,G2600990203904,1980,Michigan,Macomb,Census Tract 2039.4,2600990203904,2085,2071,0,2,12,0,99.33,0,0.1,0.58,0,507,130,79.59,20.41,482,251,2039.4,No,512,123,0,7,508,0,0,4,0,120,0,0,3,0,1,2,1,6,6,13,10,28,131,155,82,2,1,82710,0.0
203905,G2600990203905,1980,Michigan,Macomb,Census Tract 2039.5,2600990203905,4239,4199,3,3,14,20,99.06,0.07,0.07,0.33,0.47,1124,182,86.06,13.94,407,217,2039.5,No,1119,189,2,3,1110,0,0,0,0,189,0,0,0,0,0,0,4,4,11,17,19,150,614,134,21,2,1,63852,0.0
203906,G2600990203906,1980,Michigan,Macomb,Census Tract 2039.6,2600990203906,3026,2923,22,1,48,32,96.6,0.73,0.03,1.59,1.06,319,697,31.4,68.6,464,236,2039.6,No,319,697,1,12,315,0,0,2,0,671,6,0,10,0,10,3,6,10,3,6,9,24,101,63,26,1,0,67822,0.0
204002,G2600990204002,1980,Michigan,Macomb,Census Tract 2040.2,2600990204002,3986,2488,1411,30,15,42,62.42,35.4,0.75,0.38,1.05,661,655,50.23,49.77,416,169,2040.2,No,661,655,6,7,479,172,1,2,7,404,237,5,5,4,6,6,14,24,46,43,56,143,240,14,2,0,0,47133,26.021180030257185
204003,G2600990204003,1980,Michigan,Macomb,Census Tract 2040.3,2600990204003,5879,5751,9,18,55,46,97.82,0.15,0.31,0.94,0.78,1538,197,88.65,11.35,348,167,2040.3,No,1538,197,7,13,1510,0,5,12,0,194,0,2,1,0,5,9,22,87,131,203,258,419,191,0,0,0,1,38992,0.0
204004,G2600990204004,1980,Michigan,Macomb,Census Tract 2040.4,2600990204004,3705,3583,25,19,39,39,96.71,0.67,0.51,1.05,1.05,694,388,64.14,35.86,350,173,2040.4,No,694,388,3,8,682,4,0,4,0,369,7,0,4,0,0,2,2,11,34,78,119,276,129,2,0,0,0,42917,0.5763688760806917
204101,G2600990204101,1980,Michigan,Macomb,Census Tract 2041.1,2600990204101,6929,6774,83,19,42,11,97.76,1.2,0.27,0.61,0.16,1568,856,64.69,35.31,379,210,2041.1,No,1568,856,6,7,1543,15,0,3,0,845,6,0,4,0,7,3,16,23,54,58,81,294,664,42,4,0,0,53931,0.9566326530612245
204102,G2600990204102,1980,Michigan,Macomb,Census Tract 2041.2,2600990204102,6081,5982,24,4,25,46,98.37,0.39,0.07,0.41,0.76,1584,251,86.32,13.68,342,191,2041.2,No,1584,251,2,5,1563,6,0,5,0,251,0,0,0,0,1,2,11,10,41,82,130,544,660,1,4,0,0,48566,0.3787878787878788
204201,G2600990204201,1980,Michigan,Macomb,Census Tract 2042.1,2600990204201,2740,2707,1,2,20,10,98.8,0.04,0.07,0.73,0.36,791,45,94.62,5.38,338,193,2042.1,No,791,45,1,5,783,0,0,5,0,45,0,0,0,0,2,1,5,19,37,74,87,270,245,15,4,0,0,45722,0.0
204202,G2600990204202,1980,Michigan,Macomb,Census Tract 2042.2,2600990204202,4974,4835,74,12,38,15,97.21,1.49,0.24,0.76,0.3,821,1109,42.54,57.46,448,227,2042.2,No,821,1109,2,10,811,4,0,3,0,1066,31,0,7,0,5,3,7,16,28,38,33,88,372,134,20,2,1,62540,0.48721071863580995
2043,G26009902043,1980,Michigan,Macomb,Census Tract 2043,2600990204300,2013,669,1305,1,14,24,33.23,64.83,0.05,0.7,1.19,468,209,69.13,30.87,352,188,2043.0,No,458,232,0,1,154,300,0,0,0,117,114,0,0,0,4,8,18,35,48,53,50,77,93,11,2,0,0,38350,65.50218340611353
2044,G26009902044,1980,Michigan,Macomb,Census Tract 2044,2600990204400,5819,5661,54,25,26,53,97.28,0.93,0.43,0.45,0.91,1592,640,71.33,28.67,388,207,2044.0,No,1602,617,7,6,1578,10,3,4,7,598,9,4,2,4,4,13,30,61,81,130,172,410,414,87,50,7,2,45841,0.6242197253433208
204501,G2600990204501,1980,Michigan,Macomb,Census Tract 2045.1,2600990204501,4881,4742,77,18,24,20,97.15,1.58,0.37,0.49,0.41,1034,892,53.69,46.31,357,172,2045.1,No,1073,871,5,9,1049,13,2,4,5,853,6,3,5,4,3,24,47,124,160,195,151,179,66,3,2,0,0,33051,1.211556383970177
204502,G2600990204502,1980,Michigan,Macomb,Census Tract 2045.2,2600990204502,2287,2104,135,16,9,23,92,5.9,0.7,0.39,1.01,446,290,60.6,39.4,323,167,2045.2,No,407,311,3,2,398,0,0,0,7,286,22,0,0,0,1,9,10,31,43,53,43,43,16,0,0,0,0,32877,0.0
